county,tract,total_commute,auto,bus,subway_rail,taxi,walk_other,total_drive,veh_occ
Queens,119100,1315,0.485,0.402,0.0,0.009,0.104,638,1.34
Queens,119300,952,0.463,0.333,0.128,0.0,0.076,441,1.19
Queens,129102,1657,0.634,0.311,0.048,0.0,0.007,1051,1.08
Queens,140300,1180,0.559,0.364,0.061,0.0,0.016,660,1.13
Queens,026500,2056,0.265,0.63,0.014,0.0,0.091,544,1.17
Queens,027500,3831,0.32,0.584,0.004,0.0,0.092,1225,1.42
Queens,004200,1796,0.335,0.574,0.006,0.014,0.071,602,1.04
Queens,004500,1427,0.208,0.665,0.008,0.025,0.094,297,1.16
Queens,004700,1724,0.062,0.84,0.009,0.0,0.089,107,1.0
Queens,006100,3558,0.075,0.854,0.021,0.011,0.039,266,1.02
Queens,007700,1002,0.143,0.635,0.0,0.025,0.197,143,1.04
Queens,010300,2465,0.297,0.635,0.013,0.0,0.055,732,1.12
Queens,011900,867,0.157,0.699,0.0,0.006,0.138,136,1.03
Queens,013500,572,0.521,0.376,0.007,0.024,0.072,298,1.07
Queens,013600,959,0.286,0.525,0.047,0.069,0.073,274,1.11
Queens,014100,919,0.126,0.768,0.016,0.014,0.076,116,1.14
Queens,014500,1147,0.296,0.616,0.008,0.022,0.058,339,1.21
Queens,016100,1144,0.115,0.766,0.013,0.0,0.106,132,1.23
Queens,016300,1170,0.15,0.636,0.01,0.0,0.204,176,1.02
Queens,018000,398,0.538,0.412,0.0,0.0,0.05,214,1.11
Queens,020600,903,0.466,0.471,0.0,0.0,0.063,421,1.27
Queens,023200,2606,0.451,0.467,0.008,0.022,0.052,1175,1.04
Queens,012601,1341,0.283,0.651,0.0,0.0,0.066,380,1.08
Queens,013200,1001,0.453,0.399,0.006,0.008,0.134,453,1.09
Queens,019800,1292,0.423,0.545,0.006,0.0,0.026,546,1.06
Queens,021600,2102,0.271,0.606,0.042,0.0,0.081,569,1.11
Queens,021900,0,,,,,,0,
Queens,023800,2321,0.259,0.619,0.025,0.021,0.076,602,1.03
Queens,032900,1413,0.388,0.548,0.011,0.005,0.048,548,1.11
Queens,035300,1040,0.384,0.526,0.021,0.007,0.062,399,1.15
Queens,037500,1925,0.188,0.691,0.005,0.019,0.097,362,1.3
Queens,044800,1210,0.362,0.49,0.012,0.06,0.076,438,1.11
Queens,045500,6346,0.202,0.586,0.008,0.049,0.155,1280,1.01
Queens,047500,2331,0.224,0.702,0.003,0.006,0.065,521,1.11
Queens,048900,779,0.385,0.584,0.0,0.019,0.012,300,1.32
Queens,050700,1983,0.396,0.561,0.0,0.009,0.034,785,1.07
Queens,052800,665,0.58,0.356,0.024,0.0,0.04,386,1.04
Queens,053500,649,0.361,0.522,0.0,0.0,0.117,234,1.09
Queens,090700,562,0.655,0.345,0.0,0.0,0.0,368,1.04
Queens,091602,0,,,,,,0,
Queens,091900,2202,0.519,0.368,0.004,0.01,0.099,1142,1.12
Queens,094700,955,0.54,0.379,0.015,0.014,0.052,516,1.19
Queens,099200,1425,0.498,0.447,0.0,0.02,0.035,710,1.03
Queens,101001,4389,0.506,0.356,0.009,0.013,0.116,2223,1.06
Queens,103202,3060,0.567,0.298,0.033,0.021,0.081,1736,1.04
Queens,117500,2271,0.465,0.326,0.142,0.01,0.057,1056,1.12
Queens,016400,1646,0.496,0.45,0.031,0.013,0.01,816,1.09
Queens,011500,1372,0.231,0.663,0.0,0.012,0.094,317,1.06
Queens,015100,1542,0.173,0.759,0.021,0.01,0.037,266,1.07
Queens,015200,1319,0.456,0.466,0.021,0.014,0.043,602,1.05
Queens,017800,1009,0.56,0.417,0.0,0.006,0.017,565,1.06
Queens,020200,688,0.637,0.327,0.023,0.0,0.013,438,1.16
Queens,020400,1146,0.258,0.662,0.016,0.003,0.061,296,1.1
Queens,065702,868,0.447,0.487,0.0,0.0,0.066,388,1.07
Queens,068000,2367,0.534,0.316,0.114,0.0,0.036,1263,1.06
Queens,072100,1830,0.219,0.614,0.0,0.0,0.167,400,1.06
Queens,077903,1481,0.42,0.512,0.043,0.0,0.025,622,1.12
Queens,084602,414,0.592,0.394,0.014,0.0,0.0,245,1.12
Queens,016600,2051,0.352,0.574,0.019,0.012,0.043,722,1.01
Queens,015000,1373,0.374,0.488,0.033,0.023,0.082,514,1.16
Queens,015300,1234,0.141,0.754,0.0,0.043,0.062,174,1.06
Queens,015700,716,0.057,0.83,0.018,0.024,0.071,41,1.08
Queens,017000,1242,0.509,0.472,0.01,0.0,0.009,632,1.1
Queens,006900,1941,0.143,0.781,0.0,0.008,0.068,278,1.01
Queens,062100,1440,0.56,0.312,0.015,0.0,0.113,806,1.04
Queens,059100,3198,0.308,0.58,0.013,0.011,0.088,986,1.14
Queens,089200,3761,0.693,0.289,0.005,0.01,0.003,2607,1.08
Queens,157902,1892,0.73,0.221,0.016,0.005,0.028,1382,1.08
Queens,005200,1180,0.303,0.554,0.034,0.018,0.091,358,1.07
Queens,012000,1130,0.463,0.441,0.012,0.027,0.057,523,1.14
Queens,015600,1407,0.349,0.538,0.025,0.0,0.088,491,1.18
Queens,122702,2636,0.398,0.451,0.019,0.009,0.123,1050,1.14
Queens,008300,1232,0.235,0.604,0.026,0.006,0.129,290,1.22
Queens,088901,4407,0.349,0.478,0.0,0.0,0.173,1540,1.15
Queens,145102,1329,0.641,0.328,0.011,0.008,0.012,852,1.09
Queens,008600,1330,0.508,0.414,0.007,0.016,0.055,676,1.12
Queens,014202,1203,0.313,0.588,0.037,0.0,0.062,376,1.12
Queens,019000,1231,0.53,0.374,0.009,0.028,0.059,653,1.07
Queens,025100,2715,0.169,0.724,0.024,0.007,0.076,460,1.12
Queens,036700,881,0.393,0.541,0.0,0.0,0.066,346,1.12
Queens,040900,2660,0.176,0.638,0.0,0.0,0.186,467,1.29
Queens,047600,586,0.667,0.316,0.0,0.0,0.017,391,1.08
Queens,055200,1622,0.406,0.528,0.014,0.018,0.034,658,1.16
Queens,056600,713,0.511,0.467,0.022,0.0,0.0,364,1.08
Queens,059000,627,0.571,0.373,0.04,0.016,0.0,358,1.06
Queens,007100,2188,0.101,0.799,0.005,0.012,0.083,221,1.35
Queens,011700,2238,0.204,0.692,0.003,0.019,0.082,456,1.1
Queens,014700,1614,0.258,0.682,0.0,0.007,0.053,416,1.13
Queens,029700,989,0.229,0.679,0.01,0.016,0.066,226,1.07
Queens,030902,2753,0.436,0.463,0.016,0.027,0.058,1199,1.07
Queens,031700,2077,0.404,0.555,0.003,0.0,0.038,840,1.08
Queens,032700,1531,0.376,0.56,0.0,0.004,0.06,576,1.12
Queens,032800,1267,0.56,0.361,0.031,0.019,0.029,709,1.02
Queens,033700,1328,0.44,0.466,0.011,0.02,0.063,584,1.24
Queens,039400,1453,0.507,0.438,0.005,0.016,0.034,737,1.16
Queens,040500,1615,0.141,0.744,0.014,0.0,0.101,227,1.21
Queens,040700,4318,0.119,0.75,0.011,0.0,0.12,513,1.2
Queens,046900,3861,0.17,0.716,0.011,0.011,0.092,658,1.19
Queens,048000,1020,0.434,0.503,0.009,0.016,0.038,443,1.02
Queens,059900,640,0.463,0.491,0.0,0.0,0.046,296,1.07
Queens,061900,1295,0.432,0.493,0.005,0.0,0.07,559,1.11
Queens,105900,1298,0.673,0.211,0.072,0.0,0.044,874,1.06
Queens,109900,1365,0.643,0.182,0.047,0.007,0.121,878,1.07
Queens,010400,1529,0.343,0.581,0.029,0.003,0.044,524,1.16
Queens,010800,1602,0.359,0.527,0.0,0.031,0.083,575,1.24
Queens,011800,1266,0.487,0.464,0.0,0.02,0.029,617,1.24
Queens,001200,1793,0.409,0.539,0.0,0.02,0.032,734,1.04
Queens,002000,836,0.327,0.544,0.087,0.0,0.042,273,1.06
Queens,002500,1717,0.068,0.757,0.05,0.006,0.119,117,1.29
Queens,003700,0,,,,,,0,
Queens,061602,507,0.669,0.176,0.128,0.0,0.027,339,1.08
Queens,118100,792,0.601,0.268,0.122,0.0,0.009,476,1.05
Queens,120500,830,0.458,0.424,0.0,0.0,0.118,380,1.26
Queens,126500,710,0.52,0.448,0.0,0.0,0.032,369,1.06
Queens,126700,1469,0.445,0.321,0.029,0.011,0.194,653,1.13
Queens,133900,531,0.591,0.379,0.0,0.008,0.022,314,1.04
Queens,146300,1364,0.532,0.25,0.13,0.01,0.078,726,1.18
Queens,000100,5778,0.084,0.843,0.025,0.004,0.044,484,1.01
Queens,001000,2336,0.259,0.658,0.021,0.005,0.057,606,1.07
Queens,003200,755,0.392,0.547,0.0,0.015,0.046,296,1.13
Queens,157101,4256,0.653,0.269,0.054,0.004,0.02,2780,1.14
Queens,150702,1222,0.63,0.157,0.11,0.0,0.103,770,1.05
Queens,155101,205,0.566,0.0,0.405,0.0,0.029,116,1.0
Queens,157102,931,0.704,0.258,0.006,0.021,0.011,655,1.09
Queens,046100,1140,0.196,0.625,0.011,0.0,0.168,223,1.1
Queens,046400,960,0.344,0.548,0.03,0.0,0.078,330,1.01
Queens,049200,2654,0.595,0.393,0.008,0.005,-0.001,1579,1.06
Queens,051300,1139,0.481,0.415,0.0,0.005,0.099,548,1.22
Queens,065501,0,,,,,,0,
Queens,065703,1426,0.534,0.346,0.007,0.008,0.105,761,1.11
Queens,066501,2166,0.456,0.424,0.095,0.005,0.02,988,1.01
Queens,066701,1224,0.576,0.368,0.0,0.0,0.056,705,1.12
Queens,067100,1137,0.446,0.484,0.0,0.022,0.048,507,1.13
Queens,071303,3049,0.219,0.694,0.014,0.005,0.068,667,1.12
Queens,071304,2824,0.284,0.582,0.006,0.024,0.104,802,1.03
Queens,003900,636,0.228,0.602,0.0,0.024,0.146,145,1.06
Queens,004300,848,0.262,0.583,0.031,0.0,0.124,222,1.14
Queens,005100,910,0.123,0.719,0.0,0.027,0.131,112,1.07
Queens,007500,2135,0.186,0.689,0.0,0.011,0.114,397,1.12
Queens,026200,612,0.443,0.52,0.0,0.028,0.009,271,1.01
Queens,019400,1309,0.592,0.314,0.027,0.01,0.057,775,1.11
Queens,019900,191,0.236,0.686,0.0,0.0,0.078,45,1.07
Queens,020500,565,0.285,0.627,0.018,0.005,0.065,161,1.27
Queens,010701,0,,,,,,0,
Queens,012301,1478,0.237,0.644,0.0,0.0,0.119,351,1.21
Queens,025301,2311,0.179,0.753,0.022,0.015,0.031,414,1.05
Queens,025302,1934,0.213,0.726,0.01,0.008,0.043,411,1.11
Queens,025400,3719,0.446,0.46,0.013,0.0,0.081,1657,1.1
Queens,026901,2665,0.082,0.792,0.017,0.0,0.109,218,1.68
Queens,026902,1726,0.13,0.758,0.01,0.027,0.075,224,1.01
Queens,016800,1486,0.428,0.555,0.004,0.009,0.004,636,1.08
Queens,016900,2804,0.229,0.7,0.035,0.009,0.027,642,1.07
Queens,017100,49,0.286,0.714,0.0,0.0,0.0,14,1.0
Queens,018401,992,0.419,0.417,0.013,0.037,0.114,416,1.1
Queens,059300,2287,0.253,0.69,0.035,0.0,0.022,579,1.06
Queens,059800,1026,0.523,0.41,0.052,0.0,0.015,537,1.07
Queens,060000,579,0.608,0.373,0.0,0.009,0.01,352,1.04
Queens,061601,1036,0.681,0.313,0.0,0.006,0.0,706,1.07
Queens,062000,650,0.731,0.231,0.025,0.014,-0.001,475,1.01
Queens,062500,1447,0.512,0.396,0.004,0.017,0.071,741,1.04
Queens,063500,1037,0.632,0.321,0.0,0.006,0.041,655,1.06
Queens,065600,2302,0.563,0.312,0.088,0.0,0.037,1296,1.04
Queens,066000,1543,0.501,0.391,0.054,0.005,0.049,773,1.08
Queens,068300,1848,0.201,0.677,0.035,0.015,0.072,372,1.07
Queens,071600,0,,,,,,0,
Queens,024000,3066,0.202,0.656,0.018,0.012,0.112,619,1.11
Queens,024600,0,,,,,,0,
Bronx,020000,1925,0.177,0.695,0.0,0.026,0.102,341,1.12
Bronx,020501,2137,0.183,0.715,0.0,0.016,0.086,391,1.23
Bronx,020502,860,0.257,0.622,0.023,0.015,0.083,221,1.03
Bronx,020900,1611,0.203,0.731,0.0,0.0,0.066,327,1.05
Bronx,021001,4408,0.222,0.679,0.015,0.021,0.063,980,1.08
Bronx,021002,3495,0.239,0.683,0.0,0.027,0.051,836,1.13
Bronx,021700,2149,0.22,0.687,0.0,0.021,0.072,473,1.11
Bronx,022101,1430,0.123,0.658,0.028,0.064,0.127,176,1.4
Bronx,022102,2011,0.166,0.688,0.016,0.015,0.115,334,1.11
Bronx,022200,1563,0.212,0.687,0.028,0.01,0.063,331,1.07
Bronx,023800,1050,0.307,0.509,0.007,0.031,0.146,322,1.03
Bronx,016000,1743,0.694,0.237,0.0,0.018,0.051,1209,1.09
Bronx,016200,818,0.652,0.29,0.0,0.023,0.035,533,1.16
Bronx,016500,358,0.279,0.508,0.042,0.014,0.157,100,1.0
Bronx,017500,2380,0.097,0.786,0.0,0.008,0.109,232,1.1
Bronx,021501,1655,0.239,0.641,0.009,0.036,0.075,395,1.16
Bronx,021502,2176,0.216,0.634,0.041,0.032,0.077,469,1.19
Bronx,023000,1190,0.39,0.434,0.055,0.022,0.099,464,1.11
Bronx,025300,2311,0.147,0.672,0.004,0.037,0.14,339,1.07
Bronx,026100,952,0.201,0.712,0.011,0.035,0.041,191,1.04
Bronx,027900,3366,0.302,0.565,0.022,0.025,0.086,1018,1.1
Bronx,030000,2910,0.493,0.438,0.016,0.012,0.041,1436,1.06
Bronx,031900,171,0.181,0.152,0.0,0.0,0.667,31,1.53
Bronx,034000,2437,0.309,0.613,0.013,0.0,0.065,754,1.05
Bronx,034400,1062,0.499,0.457,0.015,0.021,0.008,530,1.06
Bronx,035000,1033,0.46,0.439,0.023,0.033,0.045,475,1.03
